batter,batsman_runs
V Kohli,8014
S Dhawan,6769
RG Sharma,6630
DA Warner,6567
SK Raina,5536
MS Dhoni,5243
AB de Villiers,5181
CH Gayle,4997
RV Uthappa,4954
KD Karthik,4843
KL Rahul,4689
AM Rahane,4642
F du Plessis,4571
SV Samson,4419
AT Rayudu,4348
G Gambhir,4217
SR Watson,3880
MK Pandey,3859
SA Yadav,3594
JC Buttler,3583
KA Pollard,3437
RR Pant,3297
YK Pathan,3222
Shubman Gill,3216
Q de Kock,3160
SS Iyer,3131
RA Jadeja,2959
WP Saha,2934
DA Miller,2924
BB McCullum,2882
PA Patel,2848
GJ Maxwell,2772
Yuvraj Singh,2754
V Sehwag,2728
MA Agarwal,2669
Ishan Kishan,2644
N Rana,2636
M Vijay,2619
HH Pandya,2534
SPD Smith,2495
SE Marsh,2489
AD Russell,2488
JH Kallis,2427
DR Smith,2385
RD Gaikwad,2380
SR Tendulkar,2334
RA Tripathi,2236
R Dravid,2174
KS Williamson,2132
AJ Finch,2092
AC Gilchrist,2069
JP Duminy,2029
MEK Hussey,1977
PP Shaw,1892
MP Stoinis,1866
DPMD Jayawardene,1808
N Pooran,1769
Mandeep Singh,1706
MK Tiwary,1695
KC Sangakkara,1687
AR Patel,1653
KH Pandya,1647
YBK Jaiswal,1607
JM Bairstow,1589
DJ Bravo,1560
D Padikkal,1559
NV Ojha,1554
SP Narine,1534
S Dube,1502
KK Nair,1496
SS Tiwary,1494
DJ Hooda,1466
S Badrinath,1441
EJG Morgan,1406
BJ Hodge,1400
Abhishek Sharma,1377
SC Ganguly,1349
CA Lynn,1329
VR Iyer,1326
DJ Hussey,1322
SO Hetmyer,1243
KM Jadhav,1208
R Parag,1173
MM Ali,1162
Tilak Varma,1156
TM Dilshan,1153
IK Pathan,1150
V Shankar,1115
ML Hayden,1107
M Vohra,1083
LMP Simmons,1079
B Sai Sudharsan,1034
LRPL Taylor,1017
R Tewatia,1013
KP Pietersen,1001
MC Henriques,1000
AK Markram,995
H Klaasen,993
Y Venugopal Rao,985
JA Morkel,975
A Symonds,974
CL White,971
LS Livingstone,939
BA Stokes,935
DP Conway,924
RK Singh,893
HH Gibbs,886
SM Curran,883
STR Binny,880
Harbhajan Singh,833
R Ashwin,800
RM Patidar,799
MS Bisla,798
Shakib Al Hasan,795
TM Head,772
ST Jayasuriya,768
P Simran Singh,756
GC Smith,739
JM Sharma,730
AD Mathews,724
C Green,707
TL Suman,676
AM Nayar,672
MR Marsh,665
GJ Bailey,663
TH David,659
E Lewis,654
PD Salt,653
A Badoni,634
PP Chawla,624
CH Morris,618
JJ Roy,614
JD Ryder,604
SN Khan,585
Abdul Samad,579
HM Amla,577
M Shahrukh Khan,553
Rashid Khan,545
CJ Anderson,538
Shahbaz Ahmed,536
RS Bopara,531
MK Lomror,527
JP Faulkner,527
PJ Cummins,515
M Manhas,514
Gurkeerat Singh,511
OA Shah,506
