season,team,matches_played
2007/08,Chennai Super Kings,16
2007/08,Deccan Chargers,14
2007/08,Delhi Daredevils,14
2007/08,Kings XI Punjab,15
2007/08,Kolkata Knight Riders,13
2007/08,Mumbai Indians,14
2007/08,Rajasthan Royals,16
2007/08,Royal Challengers Bangalore,14
2009,Chennai Super Kings,14
2009,Deccan Chargers,16
2009,Delhi Daredevils,15
2009,Kings XI Punjab,14
2009,Kolkata Knight Riders,13
2009,Mumbai Indians,13
2009,Rajasthan Royals,13
2009,Royal Challengers Bangalore,16
2009/10,Chennai Super Kings,16
2009/10,Deccan Chargers,16
2009/10,Delhi Daredevils,14
2009/10,Kings XI Punjab,14
2009/10,Kolkata Knight Riders,14
2009/10,Mumbai Indians,16
2009/10,Rajasthan Royals,14
2009/10,Royal Challengers Bangalore,16
2011,Chennai Super Kings,16
2011,Deccan Chargers,14
2011,Delhi Daredevils,13
2011,Kings XI Punjab,14
2011,Kochi Tuskers Kerala,14
2011,Kolkata Knight Riders,15
2011,Mumbai Indians,16
2011,Pune Warriors,13
2011,Rajasthan Royals,13
2011,Royal Challengers Bangalore,16
2012,Chennai Super Kings,18
2012,Deccan Chargers,15
2012,Delhi Daredevils,18
2012,Kings XI Punjab,16
2012,Kolkata Knight Riders,17
2012,Mumbai Indians,17
2012,Pune Warriors,16
2012,Rajasthan Royals,16
2012,Royal Challengers Bangalore,15
2013,Chennai Super Kings,18
2013,Delhi Daredevils,16
2013,Kings XI Punjab,16
2013,Kolkata Knight Riders,16
2013,Mumbai Indians,19
2013,Pune Warriors,16
2013,Rajasthan Royals,18
2013,Royal Challengers Bangalore,16
2013,Sunrisers Hyderabad,17
2014,Chennai Super Kings,16
2014,Delhi Daredevils,14
2014,Kings XI Punjab,17
2014,Kolkata Knight Riders,16
2014,Mumbai Indians,15
2014,Rajasthan Royals,14
2014,Royal Challengers Bangalore,14
2014,Sunrisers Hyderabad,14
2015,Chennai Super Kings,17
2015,Delhi Daredevils,13
2015,Kings XI Punjab,14
2015,Kolkata Knight Riders,13
2015,Mumbai Indians,16
2015,Rajasthan Royals,13
2015,Royal Challengers Bangalore,14
2015,Sunrisers Hyderabad,14
2016,Delhi Daredevils,14
2016,Gujarat Lions,16
2016,Kings XI Punjab,14
2016,Kolkata Knight Riders,15
2016,Mumbai Indians,14
2016,Rising Pune Supergiants,14
2016,Royal Challengers Bangalore,16
2016,Sunrisers Hyderabad,17
2017,Delhi Daredevils,14
2017,Gujarat Lions,14
2017,Kings XI Punjab,14
2017,Kolkata Knight Riders,16
2017,Mumbai Indians,17
2017,Rising Pune Supergiant,16
2017,Royal Challengers Bangalore,13
2017,Sunrisers Hyderabad,14
2018,Chennai Super Kings,16
2018,Delhi Daredevils,14
2018,Kings XI Punjab,14
2018,Kolkata Knight Riders,16
2018,Mumbai Indians,14
2018,Rajasthan Royals,15
2018,Royal Challengers Bangalore,14
2018,Sunrisers Hyderabad,17
2019,Chennai Super Kings,17
2019,Delhi Capitals,16
2019,Kings XI Punjab,14
2019,Kolkata Knight Riders,14
2019,Mumbai Indians,16
2019,Rajasthan Royals,13
2019,Royal Challengers Bangalore,13
2019,Sunrisers Hyderabad,15
2020/21,Chennai Super Kings,14
2020/21,Delhi Capitals,17
2020/21,Kings XI Punjab,14
2020/21,Kolkata Knight Riders,14
2020/21,Mumbai Indians,16
2020/21,Rajasthan Royals,14
2020/21,Royal Challengers Bangalore,15
2020/21,Sunrisers Hyderabad,16
2021,Chennai Super Kings,16
2021,Delhi Capitals,16
2021,Kolkata Knight Riders,17
2021,Mumbai Indians,14
2021,Punjab Kings,14
2021,Rajasthan Royals,14
2021,Royal Challengers Bangalore,15
2021,Sunrisers Hyderabad,14
2022,Chennai Super Kings,14
2022,Delhi Capitals,14
2022,Gujarat Titans,16
2022,Kolkata Knight Riders,14
2022,Lucknow Super Giants,15
2022,Mumbai Indians,14
2022,Punjab Kings,14
2022,Rajasthan Royals,17
2022,Royal Challengers Bangalore,16
2022,Sunrisers Hyderabad,14
2023,Chennai Super Kings,15
2023,Delhi Capitals,14
2023,Gujarat Titans,17
2023,Kolkata Knight Riders,14
2023,Lucknow Super Giants,14
2023,Mumbai Indians,16
2023,Punjab Kings,14
2023,Rajasthan Royals,14
2023,Royal Challengers Bangalore,14
2023,Sunrisers Hyderabad,14
2024,Chennai Super Kings,14
2024,Delhi Capitals,14
2024,Gujarat Titans,12
2024,Kolkata Knight Riders,14
2024,Lucknow Super Giants,14
2024,Mumbai Indians,14
2024,Punjab Kings,14
2024,Rajasthan Royals,15
2024,Royal Challengers Bengaluru,15
2024,Sunrisers Hyderabad,16
