Index,season,winner,wins
0,2007/08,Chennai Super Kings,9
1,2007/08,Deccan Chargers,2
2,2007/08,Delhi Daredevils,7
3,2007/08,Kings XI Punjab,10
4,2007/08,Kolkata Knight Riders,6
5,2007/08,Mumbai Indians,7
6,2007/08,Rajasthan Royals,13
7,2007/08,Royal Challengers Bangalore,4
8,2009,Chennai Super Kings,8
9,2009,Deccan Chargers,9
10,2009,Delhi Daredevils,10
11,2009,Kings XI Punjab,7
12,2009,Kolkata Knight Riders,3
13,2009,Mumbai Indians,5
14,2009,Rajasthan Royals,6
15,2009,Royal Challengers Bangalore,9
16,2009/10,Chennai Super Kings,9
17,2009/10,Deccan Chargers,8
18,2009/10,Delhi Daredevils,7
19,2009/10,Kings XI Punjab,4
20,2009/10,Kolkata Knight Riders,7
21,2009/10,Mumbai Indians,11
22,2009/10,Rajasthan Royals,6
23,2009/10,Royal Challengers Bangalore,8
24,2011,Chennai Super Kings,11
25,2011,Deccan Chargers,6
26,2011,Delhi Daredevils,4
27,2011,Kings XI Punjab,7
28,2011,Kochi Tuskers Kerala,6
29,2011,Kolkata Knight Riders,8
30,2011,Mumbai Indians,10
31,2011,Pune Warriors,4
32,2011,Rajasthan Royals,6
33,2011,Royal Challengers Bangalore,10
34,2012,Chennai Super Kings,10
35,2012,Deccan Chargers,4
36,2012,Delhi Daredevils,11
37,2012,Kings XI Punjab,8
38,2012,Kolkata Knight Riders,12
39,2012,Mumbai Indians,10
40,2012,Pune Warriors,4
41,2012,Rajasthan Royals,7
42,2012,Royal Challengers Bangalore,8
43,2013,Chennai Super Kings,12
44,2013,Delhi Daredevils,3
45,2013,Kings XI Punjab,8
46,2013,Kolkata Knight Riders,6
47,2013,Mumbai Indians,13
48,2013,Pune Warriors,4
49,2013,Rajasthan Royals,11
50,2013,Royal Challengers Bangalore,9
51,2013,Sunrisers Hyderabad,10
52,2014,Chennai Super Kings,10
53,2014,Delhi Daredevils,2
54,2014,Kings XI Punjab,12
55,2014,Kolkata Knight Riders,11
56,2014,Mumbai Indians,7
57,2014,Rajasthan Royals,7
58,2014,Royal Challengers Bangalore,5
59,2014,Sunrisers Hyderabad,6
60,2015,Chennai Super Kings,10
61,2015,Delhi Daredevils,5
62,2015,Kings XI Punjab,3
63,2015,Kolkata Knight Riders,7
64,2015,Mumbai Indians,10
65,2015,Rajasthan Royals,7
66,2015,Royal Challengers Bangalore,8
67,2015,Sunrisers Hyderabad,7
68,2016,Delhi Daredevils,7
69,2016,Gujarat Lions,9
70,2016,Kings XI Punjab,4
71,2016,Kolkata Knight Riders,8
72,2016,Mumbai Indians,7
73,2016,Rising Pune Supergiants,5
74,2016,Royal Challengers Bangalore,9
75,2016,Sunrisers Hyderabad,11
76,2017,Delhi Daredevils,6
77,2017,Gujarat Lions,4
78,2017,Kings XI Punjab,7
79,2017,Kolkata Knight Riders,9
80,2017,Mumbai Indians,12
81,2017,Rising Pune Supergiant,10
82,2017,Royal Challengers Bangalore,3
83,2017,Sunrisers Hyderabad,8
84,2018,Chennai Super Kings,11
85,2018,Delhi Daredevils,5
86,2018,Kings XI Punjab,6
87,2018,Kolkata Knight Riders,9
88,2018,Mumbai Indians,6
89,2018,Rajasthan Royals,7
90,2018,Royal Challengers Bangalore,6
91,2018,Sunrisers Hyderabad,10
92,2019,Chennai Super Kings,10
93,2019,Delhi Capitals,10
94,2019,Kings XI Punjab,6
95,2019,Kolkata Knight Riders,6
96,2019,Mumbai Indians,11
97,2019,Rajasthan Royals,5
98,2019,Royal Challengers Bangalore,5
99,2019,Sunrisers Hyderabad,6
100,2020/21,Chennai Super Kings,6
101,2020/21,Delhi Capitals,9
102,2020/21,Kings XI Punjab,6
103,2020/21,Kolkata Knight Riders,7
104,2020/21,Mumbai Indians,11
105,2020/21,Rajasthan Royals,6
106,2020/21,Royal Challengers Bangalore,7
107,2020/21,Sunrisers Hyderabad,8
108,2021,Chennai Super Kings,11
109,2021,Delhi Capitals,10
110,2021,Kolkata Knight Riders,9
111,2021,Mumbai Indians,7
112,2021,Punjab Kings,6
113,2021,Rajasthan Royals,5
114,2021,Royal Challengers Bangalore,9
115,2021,Sunrisers Hyderabad,3
116,2022,Chennai Super Kings,4
117,2022,Delhi Capitals,7
118,2022,Gujarat Titans,12
119,2022,Kolkata Knight Riders,6
120,2022,Lucknow Super Giants,9
121,2022,Mumbai Indians,4
122,2022,Punjab Kings,7
123,2022,Rajasthan Royals,10
124,2022,Royal Challengers Bangalore,9
125,2022,Sunrisers Hyderabad,6
126,2023,Chennai Super Kings,10
127,2023,Delhi Capitals,5
128,2023,Gujarat Titans,11
129,2023,Kolkata Knight Riders,6
130,2023,Lucknow Super Giants,8
131,2023,Mumbai Indians,9
132,2023,Punjab Kings,6
133,2023,Rajasthan Royals,7
134,2023,Royal Challengers Bangalore,7
135,2023,Sunrisers Hyderabad,4
136,2024,Chennai Super Kings,7
137,2024,Delhi Capitals,7
138,2024,Gujarat Titans,5
139,2024,Kolkata Knight Riders,11
140,2024,Lucknow Super Giants,7
141,2024,Mumbai Indians,4
142,2024,Punjab Kings,5
143,2024,Rajasthan Royals,9
144,2024,Royal Challengers Bengaluru,7
145,2024,Sunrisers Hyderabad,9
